classification,job_code,job_name,start_time,end_time,work_hours
正社員,R-H1,早1,6:30,15:15,8
正社員,R-H2,早2,7:00,15:45,8
正社員,R-H3,早3,7:30,16:15,8
正社員,R-H4,早4,7:45,16:30,8
正社員,R-N1,日1,8:00,16:45,8
正社員,R-N2,日2,8:30,17:45,8
正社員,R-N3,日3,9:00,17:45,8
正社員,R-N4,日4,9:30,18:15,8
正社員,R-N5,日5,10:00,18:45,8
正社員,R-6NB1,6日B1,6:30,13:15,6
正社員,R-6NB2,6日B2,8:00,14:45,6
正社員,R-6NB3,6日B3,8:30,15:15,6
正社員,R-7N1,7日1,7:30,15:15,7
正社員,R-7N2,7日2,8:00,15:45,7
正社員,R-9N1,9日1,7:30,17:30,9
正社員,R-9N2,9日2,8:00,18:00,9
正社員,R-9N3,9日3,8:30,18:30,9
正社員,R-9N4,9日4,9:00,19:00,9
正社員,R-9N5,9日5,9:30,19:30,9
正社員,R-9N6,9日6,10:00,20:00,9
正社員,R-10NA1,10日A1,6:30,17:30,10
正社員,R-10NA2,10日A2,8:00,19:00,10
正社員,R-10NA3,10日A3,8:30,19:30,10
正社員,R-10NA4,10日A4,9:00,20:00,10
正社員,R-C1,中1,10:30,19:15,8
正社員,R-C2,中2,10:45,19:30,8
正社員,R-C3,中3,10:55,19:40,8
正社員,R-C4,中4,11:00,19:45,8
正社員,R-Y1,夜1,11:45,20:30,8
正社員,R-Y2,夜2,12:00,20:45,8
正社員,R-Y3,夜3,12:15,21:00,8
正社員,R-Y4,夜4,12:30,21:15,8
正社員,R-Y5,夜5,12:45,21:30,8
正社員,R-Y6,夜6,13:00,21:45,8
正社員,R-Y7,夜7,13:15,22:00,8
正社員,R-6YB1,6夜B1,12:30,19:15,6
正社員,R-6YB2,6夜B2,14:45,21:30,6
正社員,R-6YB3,6夜B3,15:00,21:45,6
正社員,R-7Y,7夜,12:30,20:15,7
正社員,R-10YA1,10夜A1,9:30,20:30,10
正社員,R-10YA2,10夜A2,10:00,21:00,10
期間雇用社員,A-H1,早1,7:30,15:15,7
期間雇用社員,A-H2,早2,7:30,16:15,8
期間雇用社員,A-H3,早3,7:30,17:30,9
期間雇用社員,A-N1,日1,8:00,11:00,3
期間雇用社員,A-N2,日2,8:00,12:00,4
期間雇用社員,A-N3,日3,8:00,14:45,6
期間雇用社員,A-N4,日4,8:00,15:45,7
期間雇用社員,A-N5,日5,8:00,16:45,8
期間雇用社員,A-N6,日6,8:00,18:00,9
期間雇用社員,A-N7,日7,8:30,15:15,6
期間雇用社員,A-N8,日8,8:30,17:15,8
期間雇用社員,A-N9,日9,8:30,18:30,9
期間雇用社員,A-N10,日10,9:00,12:00,3
期間雇用社員,A-N11,日11,9:00,13:00,4
期間雇用社員,A-N12,日12,9:00,14:45,5
期間雇用社員,A-N13,日13,9:00,15:45,6
期間雇用社員,A-N14,日14,9:00,16:45,7
期間雇用社員,A-N15,日15,9:00,17:45,8
期間雇用社員,A-N16,日16,9:00,19:00,9
期間雇用社員,A-N17,日17,9:00,20:00,10
期間雇用社員,A-N18,日18,9:30,17:15,7
期間雇用社員,A-N19,日19,9:30,18:15,8
期間雇用社員,A-N20,日20,9:30,19:30,9
期間雇用社員,A-N21,日21,9:30,20:30,10
期間雇用社員,A-C1,中1,10:00,13:00,3
期間雇用社員,A-C2,中2,10:00,14:00,4
期間雇用社員,A-C3,中3,10:00,14:45,4
期間雇用社員,A-C4,中4,10:00,16:45,6
期間雇用社員,A-C5,中5,10:00,17:45,7
期間雇用社員,A-C6,中6,10:00,18:45,8
期間雇用社員,A-C7,中7,10:00,20:00,9
期間雇用社員,A-C8,中8,10:30,19:15,8
期間雇用社員,A-C9,中9,11:00,15:00,4
期間雇用社員,A-C10,中10,11:00,17:45,6
期間雇用社員,A-C11,中11,11:00,19:45,8
期間雇用社員,A-Y1,夜1,12:00,16:00,4
期間雇用社員,A-Y2,夜2,12:30,20:15,7
期間雇用社員,A-Y3,夜3,12:30,21:15,8
期間雇用社員,A-Y4,夜4,13:00,16:00,3
期間雇用社員,A-Y5,夜5,13:00,17:00,4
期間雇用社員,A-Y6,夜6,13:00,21:45,8
期間雇用社員,A-Y7,夜7,13:30,17:30,4
期間雇用社員,A-Y8,夜8,14:00,18:00,4
期間雇用社員,A-Y9,夜9,14:30,18:30,4
期間雇用社員,A-Y10,夜10,15:00,19:00,4
期間雇用社員,A-Y11,夜11,16:00,20:00,4
期間雇用社員,A-Y12,夜12,17:00,21:00,4