department_code,team_name,zone_name,operational_status,shift_type
DPT-A,1班,1区,通配,早番
DPT-A,1班,2区,通配,日勤
DPT-A,1班,3区,通配,日勤
DPT-A,1班,4区,通配,早番
DPT-A,1班,大口1,混合,早番
DPT-A,1班,大口1-3,混合,早番
DPT-A,1班,補助,混合,日勤
DPT-A,1班,速早,混合,早番
DPT-A,1班,速夜,混合,夜勤
DPT-A,1班,速夜(土),混合,夜勤(土)
DPT-A,1班,速夜(日),混合,夜勤(日)
DPT-A,1班,速夜(祝),混合,夜勤(祝)
DPT-A,1班,組立,組立,日勤
DPT-A,1班,通区訓練,指定業務,日勤
DPT-A,1班,出張,指定業務,日勤
DPT-A,1班,営業,指定業務,日勤
DPT-A,2班,5区,通配,早番
DPT-A,2班,201,通配,早番
DPT-A,2班,202,通配,早番
DPT-A,2班,203,通配,早番
DPT-A,2班,大口2,混合,早番
DPT-A,2班,大口2-1,混合,日勤
DPT-A,2班,5-2,混合,日勤
DPT-A,2班,補助,混合,日勤
DPT-A,2班,速早,混合,早番
DPT-A,2班,速夜,混合,夜勤
DPT-A,2班,速夜(土),混合,夜勤(土)
DPT-A,2班,速夜(日),混合,夜勤(日)
DPT-A,2班,速夜(祝),混合,夜勤(祝)
DPT-A,2班,組立,組立,日勤
DPT-A,2班,通区訓練,指定業務,日勤
DPT-A,2班,出張,指定業務,日勤
DPT-A,2班,営業,指定業務,日勤
DPT-A,3班,6区,通配,早番
DPT-A,3班,7区,通配,早番
DPT-A,3班,8区,通配,日勤
DPT-A,3班,9区,通配,日勤
DPT-A,3班,大口3,混合,早番
DPT-A,3班,大口3-2,混合,日勤
DPT-A,3班,補助,混合,日勤
DPT-A,3班,速早,混合,早番
DPT-A,3班,速夜,混合,夜勤
DPT-A,3班,速夜(土),混合,夜勤(土)
DPT-A,3班,速夜(日),混合,夜勤(日)
DPT-A,3班,速夜(祝),混合,夜勤(祝)
DPT-A,3班,組立,組立,日勤
DPT-A,3班,通区訓練,指定業務,日勤
DPT-A,3班,出張,指定業務,日勤
DPT-A,3班,営業,指定業務,日勤
DPT-A,4班,10区,通配,早番
DPT-A,4班,11区,通配,早番
DPT-A,4班,12区,通配,早番
DPT-A,4班,13区,通配,早番
DPT-A,4班,大口4,混合,早番
DPT-A,4班,大口4-1,混合,日勤
DPT-A,4班,大口4-2,混合,日勤
DPT-A,4班,補助,混合,日勤
DPT-A,4班,速早,混合,日勤
DPT-A,4班,速夜,混合,夜勤
DPT-A,4班,速夜(土),混合,夜勤(土)
DPT-A,4班,速夜(日),混合,夜勤(日)
DPT-A,4班,速夜(祝),混合,夜勤(祝)
DPT-A,4班,組立,組立,日勤
DPT-A,4班,通区訓練,指定業務,日勤
DPT-A,4班,出張,指定業務,日勤
DPT-A,4班,営業,指定業務,日勤
DPT-A,5班,14区,通配,早番
DPT-A,5班,15区,通配,早番
DPT-A,5班,16区,通配,日勤
DPT-A,5班,17区,通配,日勤
DPT-A,5班,補助,混合,日勤
DPT-A,5班,速早,混合,日勤
DPT-A,5班,速夜,混合,夜勤
DPT-A,5班,速夜(土),混合,夜勤(土)
DPT-A,5班,速夜(日),混合,夜勤(日)
DPT-A,5班,速夜(祝),混合,夜勤(祝)
DPT-A,5班,組立,組立,日勤
DPT-A,5班,通区訓練,指定業務,日勤
DPT-A,5班,出張,指定業務,日勤
DPT-A,5班,営業,指定業務,日勤
DPT-B,6班,18区,通配,早番
DPT-B,6班,19区,通配,早番
DPT-B,6班,20区,通配,日勤
DPT-B,6班,21区,通配,日勤
DPT-B,6班,大口6,混合,日勤
DPT-B,6班,補助,混合,日勤
DPT-B,6班,速早,混合,日勤
DPT-B,6班,速夜,混合,夜勤
DPT-B,6班,速夜(土),混合,夜勤(土)
DPT-B,6班,速夜(日),混合,夜勤(日)
DPT-B,6班,速夜(祝),混合,夜勤(祝)
DPT-B,6班,組立,組立,日勤
DPT-B,6班,通区訓練,指定業務,日勤
DPT-B,6班,出張,指定業務,日勤
DPT-B,6班,営業,指定業務,日勤
DPT-B,7班,22区,通配,早番
DPT-B,7班,204,通配,早番
DPT-B,7班,205,通配,日勤
DPT-B,7班,214,通配,日勤
DPT-B,7班,215,通配,日勤
DPT-B,7班,大口7,混合,日勤
DPT-B,7班,補助,混合,日勤
DPT-B,7班,速早,混合,日勤
DPT-B,7班,速夜,混合,夜勤
DPT-B,7班,速夜(土),混合,夜勤(土)
DPT-B,7班,速夜(日),混合,夜勤(日)
DPT-B,7班,速夜(祝),混合,夜勤(祝)
DPT-B,7班,組立,組立,日勤
DPT-B,7班,通区訓練,指定業務,日勤
DPT-B,7班,出張,指定業務,日勤
DPT-B,7班,営業,指定業務,日勤
DPT-B,8班,23区,通配,日勤
DPT-B,8班,206,通配,日勤
DPT-B,8班,207,通配,日勤
DPT-B,8班,208,通配,日勤
DPT-B,8班,207-1,通配,日勤
DPT-B,8班,大口8,混合,日勤
DPT-B,8班,補助,混合,日勤
DPT-B,8班,速早,混合,日勤
DPT-B,8班,速夜,混合,夜勤
DPT-B,8班,速夜(土),混合,夜勤(土)
DPT-B,8班,速夜(日),混合,夜勤(日)
DPT-B,8班,速夜(祝),混合,夜勤(祝)
DPT-B,8班,組立,組立,日勤
DPT-B,8班,通区訓練,指定業務,日勤
DPT-B,8班,出張,指定業務,日勤
DPT-B,8班,営業,指定業務,日勤
DPT-B,9班,24区,通配,日勤
DPT-B,9班,25区,通配,日勤
DPT-B,9班,26区,通配,日勤
DPT-B,9班,27区,通配,日勤
DPT-B,9班,大口9,混合,日勤
DPT-B,9班,補助,混合,日勤
DPT-B,9班,速早,混合,日勤
DPT-B,9班,速夜,混合,夜勤
DPT-B,9班,速夜(土),混合,夜勤(土)
DPT-B,9班,速夜(日),混合,夜勤(日)
DPT-B,9班,速夜(祝),混合,夜勤(祝)
DPT-B,9班,組立,組立,日勤
DPT-B,9班,通区訓練,指定業務,日勤
DPT-B,9班,出張,指定業務,日勤
DPT-B,9班,営業,指定業務,日勤